"filename", "language", "HTML", "JavaScript", "TypeScript", "Markdown", "JSON", "JSON with Comments", "TypeScript JSX", "PostCSS", "XML", "comment", "blank", "total"
"d:\git-repos\FinalProject\frontend\hc-bookstore-admin\src\components\BestSellers.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 90, 0, 0, 0, 4, 94
"d:\git-repos\FinalProject\frontend\hc-bookstore-admin\src\components\BookCard.module.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 30, 0, 2, 1, 33
"d:\git-repos\FinalProject\frontend\hc-bookstore-admin\src\components\BookCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 169, 0, 0, 15, 23, 207
"d:\git-repos\FinalProject\frontend\hc-bookstore-admin\src\components\BookDetailsDialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 984, 0, 0, 35, 36, 1055
"d:\git-repos\FinalProject\frontend\hc-bookstore-admin\src\components\CartItem.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 113, 0, 0, 5, 25, 143
"d:\git-repos\FinalProject\frontend\hc-bookstore-admin\src\components\CartItem.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 106, 0, 0, 5, 12, 123
"d:\git-repos\FinalProject\frontend\hc-bookstore-admin\src\components\Example.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 19, 0, 0, 1, 6, 26
"d:\git-repos\FinalProject\frontend\hc-bookstore-admin\src\components\Footer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 96, 0, 0, 5, 7, 108
"d:\git-repos\FinalProject\frontend\hc-bookstore-admin\src\components\Header.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 110, 0, 0, 4, 14, 128
"d:\git-repos\FinalProject\frontend\hc-bookstore-admin\src\components\ImageViewerDialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 4, 51
"d:\git-repos\FinalProject\frontend\hc-bookstore-admin\src\components\ProtectedRoute.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 50, 0, 0, 6, 11, 67
"d:\git-repos\FinalProject\frontend\hc-bookstore-admin\src\components\SearchBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 183, 0, 0, 3, 16, 202
"d:\git-repos\FinalProject\frontend\hc-bookstore-admin\src\components\SearchFilters.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 342, 0, 0, 5, 24, 371
"d:\git-repos\FinalProject\frontend\hc-bookstore-admin\src\components\ThemeToggle.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 3, 21
"d:\git-repos\FinalProject\frontend\hc-bookstore-admin\src\components\catalog\AuthorFormDialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 127, 0, 0, 0, 3, 130
"d:\git-repos\FinalProject\frontend\hc-bookstore-admin\src\components\catalog\AuthorsTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 6, 69
"d:\git-repos\FinalProject\frontend\hc-bookstore-admin\src\components\catalog\BookFormDialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 444, 0, 0, 10, 21, 475
"d:\git-repos\FinalProject\frontend\hc-bookstore-admin\src\components\catalog\BooksTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 127, 0, 0, 7, 6, 140
"d:\git-repos\FinalProject\frontend\hc-bookstore-admin\src\components\catalog\GenreFormDialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 73, 0, 0, 0, 3, 76
"d:\git-repos\FinalProject\frontend\hc-bookstore-admin\src\components\catalog\GenresTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 6, 69
"d:\git-repos\FinalProject\frontend\hc-bookstore-admin\src\components\dashboard\OrderStatusChart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 88, 0, 0, 1, 8, 97
"d:\git-repos\FinalProject\frontend\hc-bookstore-admin\src\components\dashboard\OrderTrendChart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 73, 0, 0, 1, 6, 80
"d:\git-repos\FinalProject\frontend\hc-bookstore-admin\src\components\dashboard\RevenueChart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 85, 0, 0, 1, 7, 93
"d:\git-repos\FinalProject\frontend\hc-bookstore-admin\src\components\dashboard\TopSellingBooksChart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 65, 0, 0, 1, 6, 72
"d:\git-repos\FinalProject\frontend\hc-bookstore-admin\src\components\ui\accordion.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 8, 53
"d:\git-repos\FinalProject\frontend\hc-bookstore-admin\src\components\ui\badge.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 5, 35
"d:\git-repos\FinalProject\frontend\hc-bookstore-admin\src\components\ui\button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 6, 49
"d:\git-repos\FinalProject\frontend\hc-bookstore-admin\src\components\ui\card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 9, 44
"d:\git-repos\FinalProject\frontend\hc-bookstore-admin\src\components\ui\checkbox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 12, 37
"d:\git-repos\FinalProject\frontend\hc-bookstore-admin\src\components\ui\dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 83, 0, 0, 0, 13, 96
"d:\git-repos\FinalProject\frontend\hc-bookstore-admin\src\components\ui\dropdown-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 181, 0, 0, 0, 18, 199
"d:\git-repos\FinalProject\frontend\hc-bookstore-admin\src\components\ui\input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 4, 23
"d:\git-repos\FinalProject\frontend\hc-bookstore-admin\src\components\ui\label.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 5, 18
"d:\git-repos\FinalProject\frontend\hc-bookstore-admin\src\components\ui\radio-group.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 13, 50
"d:\git-repos\FinalProject\frontend\hc-bookstore-admin\src\components\ui\select.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 145, 0, 0, 0, 22, 167
"d:\git-repos\FinalProject\frontend\hc-bookstore-admin\src\components\ui\separator.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 4, 21
